sponsor,tier,year,conference,is_bigtech,canonical_name
astrazeneca,gold,2020,icml,False,NA
baidu,gold,2020,icml,False,NA
bloomberg engineering,gold,2020,icml,False,NA
bosch center for artificial intelligence,gold,2020,icml,False,NA
bytedance,gold,2020,icml,True,bytedance
citadel & citadel securities,gold,2020,icml,False,NA
"hitachi, ltd.",gold,2020,icml,False,NA
hudson river trading  llc,gold,2020,icml,False,NA
jane street,gold,2020,icml,False,NA
microsoft,gold,2020,icml,True,microsoft
national security agency (nsa),gold,2020,icml,False,NA
netflix research,gold,2020,icml,False,NA
qualcomm,gold,2020,icml,False,NA
"samsung - sait ai lab, montreal",gold,2020,icml,True,samsung
sberbank,gold,2020,icml,False,NA
the d. e. shaw group,gold,2020,icml,False,NA
vinai research,gold,2020,icml,False,NA
waymo,gold,2020,icml,True,alphabet
yokogawa electric corporation,gold,2020,icml,False,NA
ant group,silver,2020,icml,True,alibaba
autodesk,silver,2020,icml,False,NA
benevolentai,silver,2020,icml,False,NA
pdt partners,silver,2020,icml,False,NA
point72,silver,2020,icml,False,NA
tencent ai lab,silver,2020,icml,True,tencent
tower research capital,silver,2020,icml,False,NA
xtx markets,silver,2020,icml,False,NA
yahoo research,silver,2020,icml,False,NA
deepmind,diamond,2020,iclr,True,alphabet
facebook,diamond,2020,iclr,True,meta
google,diamond,2020,iclr,True,alphabet
amazon,gold,2020,iclr,True,amazon
ibm research,gold,2020,iclr,False,NA
jane street,gold,2020,iclr,False,NA
salesforce,gold,2020,iclr,False,NA
apple,silver,2020,iclr,True,apple
bytedance,silver,2020,iclr,True,bytedance
microsoft,silver,2020,iclr,True,microsoft
lambda,bronze,2020,iclr,False,NA
the d. e. shaw group,bronze,2020,iclr,False,NA
two sigma,bronze,2020,iclr,False,NA
element ai,start-up,2020,iclr,False,NA
https://deepmind.com/applied/deepmind-ethics-society/,sponsors,2020,facct,True,alphabet
/static/images/deepmind-ethicsandsociety-standard-logo-171003-r01.png,sponsors,2020,facct,True,alphabet
https://research.fb.com/,sponsors,2020,facct,True,meta
/static/images/facebook-research.png,sponsors,2020,facct,True,meta
https://www.google.com/about/,sponsors,2020,facct,True,alphabet
/static/images/google_logo_color_836x272px.png,sponsors,2020,facct,True,alphabet
https://sloan.org/,sponsors,2020,facct,False,NA
/static/images/logo-2f-small-black.png,sponsors,2020,facct,False,NA
https://about.twitter.com/en_us/company.html,sponsors,2020,facct,False,NA
/static/images/brand logos twitter bird blue.png,sponsors,2020,facct,False,NA
https://www.research.ibm.com/,sponsors,2020,facct,False,NA
/static/images/ibm-research_transparent.png,sponsors,2020,facct,False,NA
https://luminate.io/,with ongoing support from,2020,facct,False,NA
/static/images/luminate_logo_primary_strapline_black_rgb-cropped.png,with ongoing support from,2020,facct,False,NA
google,diamond,2021,naacl,True,alphabet
amazon,platinum,2021,naacl,True,amazon
apple,platinum,2021,naacl,True,apple
facebook,platinum,2021,naacl,True,meta
megagon,platinum,2021,naacl,False,NA
microsoft,platinum,2021,naacl,True,microsoft
bloomberg,gold,2021,naacl,False,NA
grammarly,gold,2021,naacl,False,NA
ibm,gold,2021,naacl,False,NA
vanguard,gold,2021,naacl,False,NA
duolingo,silver,2021,naacl,False,NA
adobe,bronze,2021,naacl,False,NA
babelscape,bronze,2021,naacl,False,NA
human language technology center of excellence,bronze,2021,naacl,False,NA
legalforce,bronze,2021,naacl,False,NA
google,diversity and inclusion: champion,2021,naacl,True,alphabet
microsoft,diversity and inclusion: champion,2021,naacl,True,microsoft
amazon,platinum,2021,icml,True,amazon
apple,platinum,2021,icml,True,apple
bytedance,platinum,2021,icml,True,bytedance
citadel & citadel securities,platinum,2021,icml,False,NA
deepmind,platinum,2021,icml,True,alphabet
facebook,platinum,2021,icml,True,meta
google,platinum,2021,icml,True,alphabet
institute of advanced research in artificial intelligence,platinum,2021,icml,False,NA
intel,platinum,2021,icml,True,intel
invenia labs,platinum,2021,icml,False,NA
mayo clinic center for individualized medicine,platinum,2021,icml,False,NA
two sigma,platinum,2021,icml,False,NA
"beijing baidu netcom science technology co., ltd",gold,2021,icml,False,NA
bloomberg l.p.,gold,2021,icml,False,NA
boltzbit,gold,2021,icml,False,NA
cubist systematic strategies,gold,2021,icml,False,NA
hudson river trading,gold,2021,icml,False,NA
ibm research,gold,2021,icml,False,NA
microsoft,gold,2021,icml,True,microsoft
netflix research,gold,2021,icml,False,NA
qualcomm,gold,2021,icml,False,NA
research in germany,gold,2021,icml,False,NA
